"iter","err","ll","dens_0","conn_0","conn_X1","conn_X2","g0_1","step_dens_0","step_conn_0","step_conn_X1","step_conn_X2","step_g0_1","grad_dens_0","grad_conn_0","grad_conn_X1","grad_conn_X2","grad_g0_1"
1,1.56094332504602,-955.857333897184,-0.950000000002083,-1.92500000001353,0.05,-0.05,-4.95000000000206,0.0499999999979175,0.0749999999864699,0.05,-0.05,0.0499999999979406,240.098141321141,55.431818782381,11.93654927647,-15.6810348346426,242.791845910233
2,1.51094781104332,NA,-0.900007606289826,-1.85003939591448,0.1,-0.1,-4.90000448599936,0.0499923937122569,0.07496060409905,0.05,-0.05,0.0499955140026949,238.616588646892,54.3356424361718,9.3480866507889,-13.1825524169926,241.895800356815
3,1.46095995444454,NA,-0.850029127963483,-1.77517190404108,0.15,-0.15,-4.85001662940059,0.0499784783263431,0.0748674918733994,0.05,-0.05,0.0499878565987794,236.970572339033,52.7694645802512,6.57779259427116,-10.474766123707,240.975313037097
4,1.41098354124832,NA,-0.800071971328735,-1.70047518106812,0.2,-0.2,-4.80004021620436,0.0499571566347476,0.0746967229729651,0.05,-0.05,0.0499764131962244,235.143624532839,50.7518613881075,3.64258659487859,-7.57805846433257,239.969832474571
5,1.36102340736266,NA,-0.750144792029944,-1.62605295649643,0.25,-0.25,-4.7500800823187,0.0499271792987907,0.0744222245716832,0.05,-0.05,0.0499601338856599,233.118415803801,48.3189370686432,0.568226088262236,-4.51998224548333,238.815250960442
6,1.31108591165683,NA,-0.700257662640933,-1.55203639235035,0.293446743051368,-0.3,-4.70014258661287,0.0498871293890114,0.0740165641460786,0.0434467430513683,-0.05,0.0499374957058343,230.876839681287,45.5228294845256,-2.61105537219919,-1.33393191276809,237.445051056966
7,1.2611798528633,NA,-0.650422259611745,-1.47857329617398,0.317823825824162,-0.348701588870202,-4.65023652781934,0.0498354030291875,0.0734630961763703,0.0243770827727936,-0.0487015888702024,0.0499060587935232,228.399831538582,42.5356889911654,-5.50738429865305,1.97768693396938,235.749746258307
8,1.21131744081776,NA,-0.600652086524889,-1.4058014158097,0.323362819633243,-0.38267064765001,-4.6003741157738,0.0497701730868563,0.0727718803642877,0.00553899380908067,-0.0339690587798071,0.0498624120455416,225.666013994896,39.6539892517467,-7.41846901632925,5.39628692536098,233.61252117752
9,1.16151313568191,NA,-0.550962767954261,-1.33384119060495,0.313229517035127,-0.400149352611899,-4.55056981063795,0.0496893185706278,0.0719602252047432,-0.0101333025981159,-0.0174787049618898,0.0498043051358481,222.64886860853,36.9781328140562,-8.41145284425693,8.05170945113787,231.117595196793
10,1.11178313045362,-716.794532482663,-0.501372406153187,-1.26280263363229,0.291100168758506,-0.402132198347006,-4.50083980540966,0.0495903618010738,0.0710385569726671,-0.0221293482766204,-0.0019828457351065,0.0497300052282965,219.317624111,34.4723313662598,-8.63375503058705,9.74307258957197,228.316417254746
11,1.06214532483556,NA,-0.451902003585839,-1.19280034139848,0.260201865140299,-0.391218256342452,-4.4512019997916,0.0494704025673485,0.0700022922338098,-0.0308983036182078,0.0109139420045533,0.0496378056180566,215.637657859133,32.0291696561981,-8.2050091725705,10.3985486782676,225.224035334577
12,1.01261980258678,NA,-0.402575939394015,-1.12397053544032,0.223284260186422,-0.370423946558041,-4.40167647754282,0.0493260641918241,0.0688298059581546,-0.0369176049538767,0.0207943097844112,0.0495255222487794,211.572215520164,29.527307005992,-7.1914781938176,10.0413562961421,221.812901056637
13,0.963229611773116,NA,-0.353422486279926,-1.05648607025529,0.182882765744092,-0.34268765433186,-4.35228628672916,0.0491534531140891,0.0674844651850268,-0.0404014944423296,0.027736292226181,0.0493901908136661,207.084352794027,26.8682906892082,-5.64082130608767,8.74877831279264,218.028081171724
14,0.914001660330806,NA,-0.304474353542506,-0.990567135106503,0.141624507212279,-0.31087268083091,-4.30305833528685,0.0489481327374201,0.0659189351487912,-0.0412582585318137,0.0318149735009501,0.0492279514423099,202.138912627561,23.9949683225404,-3.62617393079745,6.64717420477245,213.80383872156
15,0.864967610823145,NA,-0.255769241745566,-0.926485961254885,0.102446177219586,-0.277945699825235,-4.25402428577919,0.0487051117969398,0.0640811738516185,-0.0391783299926921,0.0329269810056754,0.049034049507661,196.704412683175,20.8993184560313,-1.28524219462633,3.93148181387915,209.075313471203
16,0.816164706225765,NA,-0.207350401530188,-0.864564110295748,0.0685305170104781,-0.247075898156492,-4.20522138118181,0.0484188402153781,0.0619218509591363,-0.0339156602091083,0.0308698016687429,0.0488029045973806,190.754283257775,17.6221112462827,1.15616278094421,0.884194914760883,203.786199097067
17,0.767636501276095,NA,-0.159267207686478,-0.805162173069792,0.0427810764022573,-0.221428738096913,-4.15669317623214,0.0480831938437095,0.0594019372259561,-0.0257494406082208,0.0256471600595783,0.0485282049496701,184.26670583267,14.2415533809981,3.39913238804002,-2.13478255204791,197.892576301228
18,0.719433539756182,NA,-0.11157578018929,-0.748663988891389,0.0270332545328703,-0.203597212281745,-4.10849021471222,0.047691427497188,0.0564981841784036,-0.015747821869387,0.0178315258151686,0.0482029615199124,177.223055708282,10.8511688745239,5.14266353320636,-4.74863805948189,191.361488207349
