"iter","loglik","dens_0","conn_0","conn_X","g0_1","grad_dens_0","grad_conn_0","grad_conn_X","grad_g0_1"
1,-53.2825925791761,-0.980000000011426,-1.97000000007185,-0.0299999997820128,-4.98000000001665,17.5042454256413,4.17539881389928,-1.37622778069613,12.0132803863982
2,-52.5345046096546,-0.960004550055957,-1.93999875159185,-0.0599747601721787,-4.96000382523138,17.3579901385068,4.18212282745856,-1.33767758470071,11.9283335324383
3,-51.7933683167586,-0.940017010101675,-1.90999739581901,-0.0898979526751434,-4.94001445143137,17.2053035556985,4.18100762047402,-1.29100200865651,11.8371408598961
4,-51.0600419027754,-0.920041000220197,-1.87999854071926,-0.119735328163008,-4.92003521386915,17.0459589305949,4.17228082078225,-1.23672219032755,11.7392635814184
5,-50.3353782261771,-0.900080412901947,-1.85000622539892,-0.149444109958052,-4.90006983759513,16.8797332820247,4.15624580035967,-1.17547794943107,11.6343076877001
6,-49.6202156500708,-0.880139425503764,-1.82002586474305,-0.178972439050386,-4.88012246596454,16.7064086702595,4.13327223839133,-1.10801173320851,11.5219253813592
7,-48.9153691340692,-0.86022251280643,-1.79006417575628,-0.208258904768844,-4.86019768714495,16.5257733715407,4.10378499367425,-1.03515013009314,11.4018156546081
8,-48.2216218133148,-0.840334459668567,-1.76012908775142,-0.237232203281678,-4.84030055850043,16.3376229187406,4.0682517807511,-0.957783922501676,11.2737242319838
9,-47.5397173017344,-0.820480373775112,-1.73022963910951,-0.265810976076615,-4.8204366287626,16.1417609722037,4.02717017102816,-0.87684764643825,11.1374431135403
10,-46.8703529513937,-0.800665698492716,-1.70037586382999,-0.29390389013773,-4.80061195791879,15.9379999931275,3.98105440297059,-0.79329955077867,10.9928098981982
11,-46.2141742981736,-0.780896225860386,-1.67057867149643,-0.321410029235037,-4.7808331347609,15.7261617032134,3.93042240972363,-0.708102651216791,10.8397069831057
12,-45.5717709242593,-0.761178109760673,-1.64084972460271,-0.348219669231896,-4.76110729205225,15.5060773265348,3.87578338440164,-0.622207358844662,10.6780606283507
13,-44.9436739639051,-0.741517879333197,-1.61120131741644,-0.374215506591335,-4.74144211929876,15.2775876298961,3.81762612178704,-0.536535926443094,10.5078397458414
14,-44.3303554601597,-0.721922452706394,-1.58164626068958,-0.399274395166895,-4.72184587316402,15.0405428014722,3.75640832999125,-0.451968779486833,10.3290541926526
15,-43.7322297342651,-0.702399151131946,-1.55219777653075,-0.42326961933061,-4.70232738565298,14.794802242406,3.69254710747668,-0.369332696621427,10.1417523011094
