"ncell","threads","sec","omp_env","speedup","efficiency"
1600,1,11.839296579361,1,1,1
1600,2,5.85788607597351,2,2.0210868606545,1.01054343032725
1600,4,4.01197350025177,4,2.95099072279965,0.737747680699912
1600,8,3.01320397853851,8,3.92913877178119,0.491142346472649
1600,16,2.19838953018188,16,5.38544075870917,0.336590047419323
1600,20,2.15143203735352,20,5.50298423273669,0.275149211636835
2500,1,28.725893497467,1,1,1
2500,2,17.1412389278412,2,1.67583531262782,0.837917656313912
2500,4,13.7349469661713,4,2.09144553438888,0.522861383597219
2500,8,9.68439054489136,8,2.96620560316212,0.370775700395265
2500,16,7.28261208534241,16,3.94444921146948,0.246528075716843
2500,20,7.69379544258118,20,3.73364403977834,0.186682201988917
